iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,"May 15, 2000",,,,,,,,,,
Fund Holdings as of,"Apr 28, 2017",,,,,,,,,,
Total Net Assets,"109,203,771,298.81",,,,,,,,,,
Shares Outstanding,"455,700,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.67,143.65,"27,891,639.00","4,006,633,942.35","4,006,633,942.35",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.58,68.46,"41,081,091.00","2,812,411,489.86","2,812,411,489.86",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,1.78,924.99,"2,105,410.00","1,947,483,195.90","1,947,483,195.90",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.72,150.25,"12,520,797.00","1,881,249,749.25","1,881,249,749.25",Information Technology,B7TL820,US30303M1027,NASDAQ
XOM,EXXON MOBIL CORP,Equity,1.65,81.65,"22,043,684.00","1,799,866,798.60","1,799,866,798.60",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.63,123.47,"14,424,924.00","1,781,045,366.28","1,781,045,366.28",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.53,165.21,"10,096,750.00","1,668,084,067.50","1,668,084,067.50",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.51,87,"18,989,436.00","1,652,080,932.00","1,652,080,932.00",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.34,924.52,"1,579,313.00","1,460,106,454.76","1,460,106,454.76",Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.3,905.96,"1,570,678.00","1,422,971,440.88","1,422,971,440.88",Information Technology,BYY88Y7,US02079K1079,NASDAQ
GE,GENERAL ELECTRIC,Equity,1.23,28.99,"46,382,673.00","1,344,633,690.27","1,344,633,690.27",Industrials,2380498,US3696041033,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.19,39.63,"32,649,595.00","1,293,903,449.85","1,293,903,449.85",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.18,53.84,"23,938,960.00","1,288,873,606.40","1,288,873,606.40",Financials,2649100,US9497461015,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.14,23.34,"53,295,572.00","1,243,918,650.48","1,243,918,650.48",Financials,2295677,US0605051046,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.09,87.33,"13,590,725.00","1,186,878,014.25","1,186,878,014.25",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.98,106.7,"10,064,187.00","1,073,848,752.90","1,073,848,752.90",Energy,2838555,US1667641005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.98,33.92,"31,641,518.00","1,073,280,290.56","1,073,280,290.56",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.93,156.1,"6,476,013.00","1,010,905,629.30","1,010,905,629.30",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.91,45.91,"21,670,341.00","994,885,355.31","994,885,355.31",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.9,39.19,"25,159,977.00","986,019,498.63","986,019,498.63",Consumer Discretionary,2044545,US20030N1019,NASDAQ
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.84,110.84,"8,247,238.00","914,123,859.92","914,123,859.92",Consumer Staples,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.83,62.33,"14,595,786.00","909,755,341.38","909,755,341.38",Health Care,2778844,US58933Y1055,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.83,36.15,"25,134,774.00","908,622,080.10","908,622,080.10",Information Technology,2463247,US4581401001,NASDAQ
CSCO,CISCO SYSTEMS INC,Equity,0.83,34.07,"26,622,915.00","907,042,714.05","907,042,714.05",Information Technology,2198163,US17275R1023,NASDAQ
V,VISA INC CLASS A,Equity,0.83,91.22,"9,877,393.00","901,015,789.46","901,015,789.46",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.82,174.88,"5,113,843.00","894,308,863.84","894,308,863.84",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
