iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"124,393,508,123.36"
Shares Outstanding,"499,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","4.03","164.00","30,583,370.00","5,015,672,680.00","5,015,672,680.00","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.72","74.77","45,287,040.00","3,386,111,980.80","3,386,111,980.80","Information Technology","2588173","US5949181045","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.91","171.97","13,865,221.00","2,384,402,055.37","2,384,402,055.37","Information Technology","B7TL820","US30303M1027","NASDAQ"
"AMZN","AMAZON COM INC","Equity","1.83","980.60","2,327,071.00","2,281,925,822.60","2,281,925,822.60","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.68","132.37","15,801,494.00","2,091,643,760.78","2,091,643,760.78","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.62","181.16","11,142,024.00","2,018,489,067.84","2,018,489,067.84","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.52","76.33","24,854,980.00","1,897,180,623.40","1,897,180,623.40","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.52","90.89","20,840,060.00","1,894,153,053.40","1,894,153,053.40","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.34","955.24","1,745,828.00","1,667,684,738.72","1,667,684,738.72","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.32","939.33","1,750,309.00","1,644,117,752.97","1,644,117,752.97","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","1.12","23.89","58,375,897.00","1,394,600,179.33","1,394,600,179.33","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.11","92.27","15,002,471.00","1,384,277,999.17","1,384,277,999.17","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.08","37.46","36,062,965.00","1,350,918,668.90","1,350,918,668.90","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.08","51.07","26,381,960.00","1,347,326,697.20","1,347,326,697.20","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.01","24.55","51,083,617.00","1,254,102,797.35","1,254,102,797.35","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.96","107.62","11,113,101.00","1,195,991,929.62","1,195,991,929.62","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.95","33.92","35,006,213.00","1,187,410,744.96","1,187,410,744.96","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.92","47.97","23,928,780.00","1,147,863,576.60","1,147,863,576.60","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.91","40.61","27,761,177.00","1,127,381,397.97","1,127,381,397.97","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"UNH","UNITEDHEALTH GROUP INC","Equity","0.90","198.90","5,652,877.00","1,124,357,235.30","1,124,357,235.30","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.90","103.52","10,829,890.00","1,121,110,212.80","1,121,110,212.80","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.88","68.03","16,150,569.00","1,098,723,209.07","1,098,723,209.07","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.86","116.93","9,111,090.00","1,065,359,753.70","1,065,359,753.70","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.84","149.87","7,013,571.00","1,051,123,885.77","1,051,123,885.77","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.83","45.55","22,558,390.00","1,027,534,664.50","1,027,534,664.50","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.82","63.86","16,046,071.00","1,024,702,094.06","1,024,702,094.06","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.78","115.73","8,380,881.00","969,919,358.13","969,919,358.13","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.78","35.07","27,627,310.00","968,889,761.70","968,889,761.70","Information Technology","2463247","US4581401001","NASDAQ"
"CSCO","CISCO SYSTEMS INC","Equity","0.76","32.21","29,336,010.00","944,912,882.10","944,912,882.10","Information Technology","2198163","US17275R1023","NASDAQ"
"ORCL","ORACLE CORP","Equity","0.71","50.33","17,624,821.00","887,057,240.93","887,057,240.93","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.69","101.20","8,535,892.00","863,832,270.40","863,832,270.40","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.63","239.66","3,294,211.00","789,490,608.26","789,490,608.26","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.62","177.77","4,318,943.00","767,778,497.11","767,778,497.11","Health Care","2023607","US0311621009","NASDAQ"
"MCD","MCDONALDS CORP","Equity","0.61","159.97","4,783,660.00","765,242,090.20","765,242,090.20","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.59","133.30","5,505,387.00","733,868,087.10","733,868,087.10","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.58","63.40","11,337,615.00","718,804,791.00","718,804,791.00","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.58","143.03","5,018,127.00","717,742,704.81","717,742,704.81","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MMM","3M","Equity","0.58","204.32","3,507,582.00","716,669,154.24","716,669,154.24","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.56","75.30","9,342,286.00","703,474,135.80","703,474,135.80","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.54","78.07","8,670,579.00","676,912,102.53","676,912,102.53","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.52","80.62","8,036,307.00","647,887,070.34","647,887,070.34","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.51","83.71","7,658,171.00","641,065,494.41","641,065,494.41","Health Care","2369174","US3755581036","NASDAQ"
"CELG","CELGENE CORP","Equity","0.51","138.93","4,584,532.00","636,929,030.76","636,929,030.76","Health Care","2182348","US1510201049","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.50","138.27","4,476,089.00","618,908,826.03","618,908,826.03","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"AVGO","BROADCOM LTD","Equity","0.48","252.07","2,352,054.00","592,882,251.78","592,882,251.78","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"NVDA","NVIDIA CORP","Equity","0.47","169.44","3,487,000.00","590,837,280.00","590,837,280.00","Information Technology","2379504","US67066G1040","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.47","60.48","9,656,149.00","584,003,891.52","584,003,891.52","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"PCLN","THE PRICELINE GROUP INC","Equity","0.43","1,852.08","288,278.00","533,913,918.24","533,913,918.24","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.42","119.72","4,367,665.00","522,896,853.80","522,896,853.80","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.42","50.94","10,172,011.00","518,162,240.34","518,162,240.34","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.42","63.51","8,144,156.00","517,235,347.56","517,235,347.56","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.40","398.54","1,264,705.00","504,035,530.70","504,035,530.70","Consumer Discretionary","BZ6VT82","US16119P1084","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.40","105.30","4,733,584.00","498,446,395.20","498,446,395.20","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"TXN","TEXAS INSTRUMENT INC","Equity","0.39","82.82","5,841,734.00","483,812,409.88","483,812,409.88","Information Technology","2885409","US8825081040","NASDAQ"
"GS","GOLDMAN SACHS GROUP INC","Equity","0.39","223.74","2,146,480.00","480,253,435.20","480,253,435.20","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.38","51.25","9,287,325.00","475,975,406.25","475,975,406.25","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.38","130.76","3,633,242.00","475,082,723.92","475,082,723.92","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"SBUX","STARBUCKS CORP","Equity","0.37","54.86","8,489,666.00","465,743,076.76","465,743,076.76","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"LLY","ELI LILLY","Equity","0.37","81.29","5,692,768.00","462,765,110.72","462,765,110.72","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.37","77.34","5,973,807.00","462,014,233.38","462,014,233.38","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
