iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,29-Dec-17,,,,,,,,,,
Total Net Assets,"141,487,848,319.30",,,,,,,,,,
Shares Outstanding,"526,950,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.8,169.23,"31,761,654.00","5,375,024,706.42","5,375,024,706.42",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.89,85.54,"47,723,487.00","4,082,267,077.98","4,082,267,077.98",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.05,"1,169.47","2,474,160.00","2,893,455,895.20","2,893,455,895.20",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.84,176.46,"14,752,657.00","2,603,253,854.22","2,603,253,854.22",Information Technology,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.67,198.22,"11,904,651.00","2,359,739,921.22","2,359,739,921.22",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.64,139.72,"16,619,148.00","2,322,027,358.56","2,322,027,358.56",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.62,106.94,"21,464,170.00","2,295,378,339.80","2,295,378,339.80",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.55,83.64,"26,212,381.00","2,192,403,546.84","2,192,403,546.84",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.38,"1,046.40","1,867,363.00","1,954,008,643.20","1,954,008,643.20",Information Technology,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.37,"1,053.40","1,843,723.00","1,942,177,808.20","1,942,177,808.20",Information Technology,BYVY8G0,US02079K3059,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,1.25,29.52,"60,008,458.00","1,771,449,680.16","1,771,449,680.16",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.18,60.67,"27,415,980.00","1,663,327,506.60","1,663,327,506.60",Financials,2649100,US9497461015,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.04,38.88,"37,982,876.00","1,476,774,218.88","1,476,774,218.88",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,1.04,125.19,"11,749,844.00","1,470,962,970.36","1,470,962,970.36",Energy,2838555,US1667641005,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.02,91.88,"15,762,973.00","1,448,301,959.24","1,448,301,959.24",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.97,189.53,"7,223,837.00","1,369,133,826.61","1,369,133,826.61",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.94,46.16,"28,951,084.00","1,336,382,037.44","1,336,382,037.44",Information Technology,2463247,US4581401001,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,0.94,52.93,"25,235,588.00","1,335,719,672.84","1,335,719,672.84",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.94,36.22,"36,873,778.00","1,335,568,239.16","1,335,568,239.16",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.93,220.46,"5,994,735.00","1,321,599,278.10","1,321,599,278.10",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.9,114.02,"11,218,299.00","1,279,110,451.98","1,279,110,451.98",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.86,74.41,"16,356,248.00","1,217,068,413.68","1,217,068,413.68",Financials,2297907,US1729674242,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.83,38.3,"30,581,955.00","1,171,288,876.50","1,171,288,876.50",Information Technology,2198163,US17275R1023,NASDAQ
CMCSA,COMCAST A CORP,Equity,0.82,40.05,"28,854,230.00","1,155,611,911.50","1,155,611,911.50",Consumer Discretionary,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.77,45.88,"23,721,363.00","1,088,336,134.44","1,088,336,134.44",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
PEP,PEPSICO INC,Equity,0.75,119.92,"8,797,560.00","1,055,003,395.20","1,055,003,395.20",Consumer Staples,2681511,US7134481081,NASDAQ
