iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,31-Jan-18,,,,,,,,,,
Total Net Assets,"156,026,902,856.81",,,,,,,,,,
Shares Outstanding,"549,650,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.56,167.43,"33,299,304.00","5,575,302,468.72","5,575,302,468.72",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,3.03,95.01,"50,033,787.00","4,753,710,102.87","4,753,710,102.87",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.4,"1,450.89","2,594,010.00","3,763,623,168.90","3,763,623,168.90",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.84,186.89,"15,466,657.00","2,890,563,526.73","2,890,563,526.73",Information Technology,B7TL820,US30303M1027,NASDAQ
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.71,214.38,"12,480,951.00","2,675,666,275.38","2,675,666,275.38",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.66,115.67,"22,503,040.00","2,602,926,636.80","2,602,926,636.80",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.54,138.19,"17,423,418.00","2,407,742,133.42","2,407,742,133.42",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.53,87.3,"27,481,261.00","2,399,114,085.30","2,399,114,085.30",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.46,"1,169.94","1,957,633.00","2,290,313,152.02","2,290,313,152.02",Information Technology,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.46,"1,182.22","1,932,973.00","2,285,199,340.06","2,285,199,340.06",Information Technology,BYVY8G0,US02079K3059,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,1.28,32,"62,913,418.00","2,013,229,376.00","2,013,229,376.00",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.21,65.78,"28,743,000.00","1,890,714,540.00","1,890,714,540.00",Financials,2649100,US9497461015,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.98,125.35,"12,318,494.00","1,544,123,222.90","1,544,123,222.90",Energy,2838555,US1667641005,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.97,200.9,"7,573,697.00","1,521,555,727.30","1,521,555,727.30",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.95,37.45,"39,821,426.00","1,491,312,403.70","1,491,312,403.70",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.95,236.78,"6,284,925.00","1,488,144,541.50","1,488,144,541.50",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.93,48.14,"30,352,564.00","1,461,172,430.96","1,461,172,430.96",Information Technology,2463247,US4581401001,NASDAQ
V,VISA INC CLASS A,Equity,0.93,124.23,"11,761,449.00","1,461,124,809.27","1,461,124,809.27",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.91,37.04,"38,658,778.00","1,431,921,137.12","1,431,921,137.12",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.91,54.07,"26,457,038.00","1,430,532,044.66","1,430,532,044.66",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,0.91,86.34,"16,525,933.00","1,426,849,055.22","1,426,849,055.22",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.86,78.48,"17,147,768.00","1,345,756,832.64","1,345,756,832.64",Financials,2297907,US1729674242,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.85,41.54,"32,062,485.00","1,331,875,626.90","1,331,875,626.90",Information Technology,2198163,US17275R1023,NASDAQ
BA,BOEING,Equity,0.82,354.37,"3,631,098.00","1,286,752,198.26","1,286,752,198.26",Industrials,2108601,US0970231058,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.82,42.53,"30,251,120.00","1,286,580,133.60","1,286,580,133.60",Consumer Discretionary,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.75,47.59,"24,869,373.00","1,183,533,461.07","1,183,533,461.07",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
