iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Feb 28, 2017"
Total Net Assets,"97,843,780,499.36"
Shares Outstanding,"411,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.58","136.99","25,594,504.00","3,506,191,102.96","3,506,191,102.96","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.44","63.98","37,320,810.00","2,387,785,423.80","2,387,785,423.80","Information Technology","2588173","US5949181045","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.65","81.32","19,903,660.00","1,618,565,631.20","1,618,565,631.20","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"AMZN","AMAZON COM INC","Equity","1.63","845.04","1,893,021.00","1,599,678,465.84","1,599,678,465.84","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.63","122.21","13,058,249.00","1,595,848,610.29","1,595,848,610.29","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.60","171.42","9,114,341.00","1,562,380,334.22","1,562,380,334.22","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.59","90.62","17,175,264.00","1,556,422,423.68","1,556,422,423.68","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.56","135.54","11,235,697.00","1,522,886,371.38","1,522,886,371.38","Information Technology","B7TL820","US30303M1027","NASDAQ"
"GE","GENERAL ELECTRIC","Equity","1.29","29.81","42,461,894.00","1,265,789,060.14","1,265,789,060.14","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.28","57.88","21,696,310.00","1,255,782,422.80","1,255,782,422.80","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.26","41.79","29,476,863.00","1,231,838,104.77","1,231,838,104.77","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.23","844.93","1,421,259.00","1,200,864,366.87","1,200,864,366.87","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","1.22","24.68","48,506,685.00","1,197,144,985.80","1,197,144,985.80","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.20","823.21","1,424,607.00","1,172,750,728.47","1,172,750,728.47","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"PG","PROCTER & GAMBLE","Equity","1.20","91.07","12,845,464.00","1,169,836,406.48","1,169,836,406.48","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.04","112.50","9,063,101.00","1,019,598,862.50","1,019,598,862.50","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.02","34.12","29,133,887.00","994,048,224.44","994,048,224.44","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.99","49.63","19,571,874.00","971,352,106.62","971,352,106.62","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.89","65.87","13,238,699.00","872,033,103.13","872,033,103.13","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.88","37.42","22,888,422.00","856,484,751.24","856,484,751.24","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"HD","HOME DEPOT INC","Equity","0.87","144.91","5,849,303.00","847,622,497.73","847,622,497.73","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.84","34.18","24,104,506.00","823,892,015.08","823,892,015.08","Information Technology","2198163","US17275R1023","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.84","36.20","22,756,196.00","823,774,295.20","823,774,295.20","Information Technology","2463247","US4581401001","NASDAQ"
"C","CITIGROUP INC","Equity","0.84","59.81","13,684,432.00","818,465,877.92","818,465,877.92","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.83","109.35","7,449,747.00","814,629,834.45","814,629,834.45","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.81","87.94","8,968,445.00","788,685,053.30","788,685,053.30","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.80","41.96","18,640,836.00","782,169,478.56","782,169,478.56","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.79","110.09","7,031,266.00","774,072,073.94","774,072,073.94","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.78","110.38","6,887,607.00","760,254,060.66","760,254,060.66","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.77","165.38","4,571,147.00","755,976,290.86","755,976,290.86","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.76","179.82","4,155,493.00","747,240,751.26","747,240,751.26","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"MO","ALTRIA GROUP INC","Equity","0.72","74.92","9,367,123.00","701,784,855.16","701,784,855.16","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.64","176.53","3,573,640.00","630,854,669.20","630,854,669.20","Health Care","2023607","US0311621009","NASDAQ"
"ORCL","ORACLE CORP","Equity","0.63","42.59","14,397,334.00","613,182,455.06","613,182,455.06","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"MMM","3M CO","Equity","0.55","186.35","2,885,613.00","537,733,982.55","537,733,982.55","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.55","80.36","6,674,044.00","536,326,175.84","536,326,175.84","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.54","80.91","6,589,016.00","533,117,284.56","533,117,284.56","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"WMT","WALMART STORES INC","Equity","0.52","70.93","7,225,595.00","512,511,453.35","512,511,453.35","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.52","127.65","3,985,219.00","508,713,205.35","508,713,205.35","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.52","110.46","4,567,803.00","504,559,519.38","504,559,519.38","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.51","180.23","2,755,167.00","496,563,748.41","496,563,748.41","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.49","61.84","7,799,172.00","482,300,796.48","482,300,796.48","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"CELG","CELGENE CORP","Equity","0.47","123.51","3,721,628.00","459,658,274.28","459,658,274.28","Health Care","2182348","US1510201049","NASDAQ"
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.47","124.50","3,658,988.00","455,544,006.00","455,544,006.00","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"BMY","BRISTOL MYERS SQUIBB","Equity","0.46","56.71","8,022,271.00","454,942,988.41","454,942,988.41","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.46","70.48","6,324,480.00","445,749,350.40","445,749,350.40","Health Care","2369174","US3755581036","NASDAQ"
"AGN","ALLERGAN","Equity","0.45","244.82","1,801,348.00","441,006,017.36","441,006,017.36","Health Care","BY9D546","IE00BY9D5467","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.45","248.06","1,775,487.00","440,427,305.22","440,427,305.22","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"UNP","UNION PACIFIC CORP","Equity","0.44","107.94","3,957,638.00","427,187,445.72","427,187,445.72","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.43","55.00","7,673,317.00","422,032,435.00","422,032,435.00","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.42","112.55","3,677,674.00","413,922,208.70","413,922,208.70","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"CVS","CVS HEALTH CORP","Equity","0.42","80.58","5,121,442.00","412,685,796.36","412,685,796.36","Consumer Staples","2577609","US1266501006","New York Stock Exchange Inc."
"PCLN","PRICELINE GROUP INC/THE","Equity","0.42","1,724.13","236,678.00","408,063,640.14","408,063,640.14","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"AVGO","BROADCOM LTD","Equity","0.41","210.93","1,905,694.00","401,968,035.42","401,968,035.42","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"QCOM","QUALCOMM INC","Equity","0.41","56.48","7,091,200.00","400,510,976.00","400,510,976.00","Information Technology","2714923","US7475251036","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.41","56.87","6,991,058.00","397,581,468.46","397,581,468.46","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"LLY","ELI LILLY","Equity","0.39","82.81","4,659,423.00","385,846,818.63","385,846,818.63","Health Care","2516152","US5324571083","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.38","45.08","8,258,423.00","372,289,708.84","372,289,708.84","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.38","177.18","2,096,566.00","371,469,563.88","371,469,563.88","Consumer Staples","2701271","US22160K1051","NASDAQ"
"TXN","TEXAS INSTRUMENTS INCORPORATED","Equity","0.38","76.62","4,803,065.00","368,010,840.30","368,010,840.30","Information Technology","2885409","US8825081040","NASDAQ"
"NKE","NIKE INC CLASS B","Equity","0.37","57.16","6,408,653.00","366,318,605.48","366,318,605.48","Consumer Discretionary","2640147","US6541061031","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC","Equity","0.37","122.50","2,975,161.00","364,457,222.50","364,457,222.50","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"TWX","TIME WARNER INC","Equity","0.37","98.21","3,705,851.00","363,951,626.71","363,951,626.71","Consumer Discretionary","B63QTN2","US8873173038","New York Stock Exchange Inc."
"WBA","WALGREEN BOOTS ALLIANCE","Equity","0.36","86.38","4,104,584.00","354,553,965.92","354,553,965.92","Consumer Staples","BTN1Y44","US9314271084","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.36","105.76","3,312,686.00","350,349,671.36","350,349,671.36","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Equity","0.34","323.06","1,038,539.00","335,510,409.34","335,510,409.34","Consumer Discretionary","BZ6VT82","US16119P1084","NASDAQ"
"DOW","DOW CHEMICAL","Equity","0.34","62.26","5,375,827.00","334,698,989.02","334,698,989.02","Materials","2278719","US2605431038","New York Stock Exchange Inc."
"DD","E I DU PONT DE NEMOURS","Equity","0.33","78.54","4,169,569.00","327,477,949.26","327,477,949.26","Materials","2018175","US2635341090","New York Stock Exchange Inc."
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Equity","0.33","43.92","7,407,380.00","325,332,129.60","325,332,129.60","Consumer Staples","B8CKK03","US6092071058","NASDAQ"
"LMT","LOCKHEED MARTIN CORP","Equity","0.33","266.58","1,208,455.00","322,149,933.90","322,149,933.90","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"MS","MORGAN STANLEY","Equity","0.32","45.67","6,916,522.00","315,877,559.74","315,877,559.74","Financials","2262314","US6174464486","New York Stock Exchange Inc."
"CL","COLGATE-PALMOLIVE","Equity","0.32","72.98","4,263,107.00","311,121,548.86","311,121,548.86","Consumer Staples","2209106","US1941621039","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.32","74.37","4,169,635.00","310,095,754.95","310,095,754.95","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"CB","CHUBB LTD","Equity","0.32","138.17","2,231,866.00","308,376,925.22","308,376,925.22","Financials","B3BQMF6","CH0044328745","New York Stock Exchange Inc."
"BIIB","BIOGEN INC","Equity","0.31","288.60","1,043,531.00","301,163,046.60","301,163,046.60","Health Care","2455965","US09062X1037","NASDAQ"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Equity","0.31","63.92","4,680,064.00","299,149,690.88","299,149,690.88","Financials","2027342","US0268747849","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.31","157.68","1,894,637.00","298,746,362.16","298,746,362.16","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"PNC","PNC FINANCIAL SERVICES GROUP INC","Equity","0.30","127.23","2,333,387.00","296,876,828.01","296,876,828.01","Financials","2692665","US6934751057","New York Stock Exchange Inc."
"AXP","AMERICAN EXPRESS","Equity","0.30","80.06","3,687,416.00","295,214,524.96","295,214,524.96","Financials","2026082","US0258161092","New York Stock Exchange Inc."
