iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,28-Feb-18,,,,,,,,,,
Total Net Assets,"154,537,475,712.41",,,,,,,,,,
Shares Outstanding,"565,250,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.93,178.12,"34,128,429.00","6,078,955,773.48","6,078,955,773.48",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,3.11,93.77,"51,279,537.00","4,808,482,184.49","4,808,482,184.49",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.6,"1,512.45","2,658,635.00","4,021,052,505.75","4,021,052,505.75",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.83,178.32,"15,851,657.00","2,826,667,476.24","2,826,667,476.24",Information Technology,B7TL820,US30303M1027,NASDAQ
JPM,JPMORGAN CHASE & CO,Equity,1.72,115.5,"23,063,215.00","2,663,801,332.50","2,663,801,332.50",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.71,207.2,"12,791,701.00","2,650,440,447.20","2,650,440,447.20",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JNJ,JOHNSON & JOHNSON,Equity,1.5,129.88,"17,857,093.00","2,319,279,238.84","2,319,279,238.84",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
GOOG,ALPHABET INC CLASS C,Equity,1.43,"1,104.73","2,006,308.00","2,216,428,636.84","2,216,428,636.84",Information Technology,BYY88Y7,US02079K1079,NASDAQ
GOOGL,ALPHABET INC CLASS A,Equity,1.41,"1,103.92","1,981,098.00","2,186,973,704.16","2,186,973,704.16",Information Technology,BYVY8G0,US02079K3059,NASDAQ
XOM,EXXON MOBIL CORP,Equity,1.38,75.74,"28,165,461.00","2,133,252,016.14","2,133,252,016.14",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.34,32.1,"64,479,818.00","2,069,802,157.80","2,069,802,157.80",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.11,58.41,"29,458,550.00","1,720,673,905.50","1,720,673,905.50",Financials,2649100,US9497461015,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.99,49.29,"31,108,264.00","1,533,326,332.56","1,533,326,332.56",Information Technology,2463247,US4581401001,NASDAQ
V,VISA INC CLASS A,Equity,0.96,122.94,"12,054,324.00","1,481,958,592.56","1,481,958,592.56",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.96,36.3,"40,812,801.00","1,481,504,676.30","1,481,504,676.30",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.95,44.78,"32,860,810.00","1,471,507,071.80","1,471,507,071.80",Information Technology,2198163,US17275R1023,NASDAQ
UNH,UNITEDHEALTH GROUP INC,Equity,0.94,226.16,"6,441,400.00","1,456,787,024.00","1,456,787,024.00",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.93,36.31,"39,621,278.00","1,438,648,604.18","1,438,648,604.18",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.91,182.27,"7,762,347.00","1,414,842,987.69","1,414,842,987.69",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.91,111.92,"12,625,119.00","1,413,003,318.48","1,413,003,318.48",Energy,2838555,US1667641005,New York Stock Exchange Inc.
BA,BOEING,Equity,0.87,362.21,"3,721,573.00","1,347,990,956.33","1,347,990,956.33",Industrials,2108601,US0970231058,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,0.86,78.52,"16,937,333.00","1,329,919,387.16","1,329,919,387.16",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.86,75.49,"17,574,568.00","1,326,704,138.32","1,326,704,138.32",Financials,2297907,US1729674242,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.84,47.74,"27,115,663.00","1,294,501,751.62","1,294,501,751.62",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.79,115.83,"10,596,097.00","1,227,345,915.51","1,227,345,915.51",Health Care,B92SR70,US00287Y1091,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.73,36.21,"31,004,345.00","1,122,667,332.45","1,122,667,332.45",Consumer Discretionary,2044545,US20030N1019,NASDAQ
