iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-may-00,,,,,,,,,,
Fund Holdings as of,31-jul-17,,,,,,,,,,
Total Net Assets,"121,907,587,125.66",,,,,,,,,,
,"490,800,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AAPL,APPLE INC,Equity,3.66,148.73,"30,015,436.00","4,464,195,796.28","4,464,195,796.28",Tecnología de la Información,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.65,72.7,"44,446,066.00","3,231,228,998.20","3,231,228,998.20",Tecnología de la Información,2588173,US5949181045,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.89,169.25,"13,607,736.00","2,303,109,318.00","2,303,109,318.00",Tecnología de la Información,B7TL820,US30303M1027,NASDAQ
AMZN,AMAZON COM INC,Equity,1.85,987.78,"2,283,851.00","2,255,942,340.78","2,255,942,340.78",Consumo discrecional,2000019,US0231351067,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.69,132.72,"15,508,046.00","2,058,227,865.12","2,058,227,865.12",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.6,80.04,"24,393,428.00","1,952,449,977.12","1,952,449,977.12",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.57,174.97,"10,935,122.00","1,913,318,296.34","1,913,318,296.34",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.54,91.8,"20,453,073.00","1,877,592,101.40","1,877,592,101.40",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.33,945.5,"1,713,401.00","1,620,020,645.50","1,620,020,645.50",Tecnología de la Información,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.31,930.5,"1,717,796.00","1,598,409,178.00","1,598,409,178.00",Tecnología de la Información,BYY88Y7,US02079K1079,NASDAQ
WFC,WELLS FARGO,Equity,1.14,53.94,"25,892,039.00","1,396,616,583.66","1,396,616,583.66",Financieros,2649100,US9497461015,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.13,24.12,"57,291,860.00","1,381,879,663.20","1,381,879,663.20",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.13,39,"35,393,263.00","1,380,337,257.00","1,380,337,257.00",Telecomunicaciones,2831811,US00206R1023,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.1,90.82,"14,723,889.00","1,337,223,598.98","1,337,223,598.98",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
GE,GENERAL ELECTRIC,Equity,1.05,25.61,"50,135,003.00","1,283,957,426.83","1,283,957,426.83",Industriales,2380498,US3696041033,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.98,109.19,"10,906,731.00","1,190,905,957.89","1,190,905,957.89",Energía,2838555,US1667641005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.93,33.16,"34,356,152.00","1,139,250,000.32","1,139,250,000.32",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.93,48.4,"23,484,429.00","1,136,646,363.60","1,136,646,363.60",Telecomunicaciones,2090571,US92343V1044,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.9,40.45,"27,245,660.00","1,102,086,947.00","1,102,086,947.00",Consumo discrecional,2044545,US20030N1019,NASDAQ
C,CITIGROUP INC,Equity,0.89,68.45,"15,850,159.00","1,084,943,383.55","1,084,943,383.55",Financieros,2297907,US1729674242,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.87,191.81,"5,547,705.00","1,064,105,296.05","1,064,105,296.05",Cuidado de la Salud,2917766,US91324P1021,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.87,99.56,"10,628,649.00","1,058,188,294.44","1,058,188,294.44",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.86,116.71,"8,941,246.00","1,043,532,820.66","1,043,532,820.66",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.84,149.6,"6,882,673.00","1,029,647,880.80","1,029,647,880.80",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
KO,COCA-COLA,Equity,0.83,45.84,"22,136,942.00","1,014,757,421.28","1,014,757,421.28",Productos básicos de consumo,2206657,US1912161007,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.82,63.88,"15,746,006.00","1,005,854,863.28","1,005,854,863.28",Cuidado de la Salud,2778844,US58933Y1055,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.79,35.47,"27,109,135.00","961,561,018.45","961,561,018.45",Tecnología de la Información,2463247,US4581401001,NASDAQ
PEP,PEPSICO INC,Equity,0.79,116.61,"8,223,695.00","958,965,073.95","958,965,073.95",Productos básicos de consumo,2681511,US7134481081,New York Stock Exchange Inc.
DIS,WALT DISNEY,Equity,0.75,109.93,"8,374,802.00","920,641,983.86","920,641,983.86",Consumo discrecional,2270726,US2546871060,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.74,31.45,"28,784,705.00","905,278,972.25","905,278,972.25",Tecnología de la Información,2198163,US17275R1023,NASDAQ
ORCL,ORACLE CORP,Equity,0.71,49.93,"17,292,054.00","863,392,256.22","863,392,256.22",Tecnología de la Información,2661568,US68389X1054,New York Stock Exchange Inc.
BA,BOEING,Equity,0.64,242.46,"3,231,506.00","783,510,944.76","783,510,944.76",Industriales,2108601,US0970231058,New York Stock Exchange Inc.
AMGN,AMGEN INC,Equity,0.61,174.51,"4,236,415.00","739,296,781.65","739,296,781.65",Cuidado de la Salud,2023607,US0311621009,NASDAQ
MCD,MCDONALDS CORP,Equity,0.6,155.14,"4,692,278.00","727,960,008.92","727,960,008.92",Consumo discrecional,2550707,US5801351017,New York Stock Exchange Inc.
MO,ALTRIA GROUP INC,Equity,0.59,64.97,"11,120,258.00","722,483,162.26","722,483,162.26",Productos básicos de consumo,2692632,US02209S1033,New York Stock Exchange Inc.
IBM,INTERNATIONAL BUSINESS MACHINES CO,Equity,0.58,144.67,"4,921,800.00","712,036,806.00","712,036,806.00",Tecnología de la Información,2005973,US4592001014,New York Stock Exchange Inc.
MMM,3M,Equity,0.57,201.17,"3,440,276.00","692,080,322.92","692,080,322.92",Industriales,2595708,US88579Y1010,New York Stock Exchange Inc.
MA,MASTERCARD INC CLASS A,Equity,0.57,127.8,"5,399,919.00","690,109,648.20","690,109,648.20",Tecnología de la Información,B121557,US57636Q1040,New York Stock Exchange Inc.
WMT,WALMART STORES INC,Equity,0.56,79.99,"8,503,500.00","680,194,965.00","680,194,965.00",Productos básicos de consumo,2936921,US9311421039,New York Stock Exchange Inc.
MDT,MEDTRONIC PLC,Equity,0.54,83.97,"7,880,513.00","661,726,676.61","661,726,676.61",Cuidado de la Salud,BTN1Y11,IE00BTN1Y115,New York Stock Exchange Inc.
ABBV,ABBVIE INC,Equity,0.52,69.91,"9,162,326.00","640,538,210.66","640,538,210.66",Cuidado de la Salud,B92SR70,US00287Y1091,New York Stock Exchange Inc.
CELG,CELGENE CORP,Equity,0.5,135.41,"4,495,201.00","608,695,167.41","608,695,167.41",Cuidado de la Salud,2182348,US1510201049,NASDAQ
HON,HONEYWELL INTERNATIONAL INC,Equity,0.49,136.12,"4,388,929.00","597,421,015.48","597,421,015.48",Industriales,2020459,US4385161066,New York Stock Exchange Inc.
PCLN,THE PRICELINE GROUP INC,Equity,0.47,"2,028.50","283,203.00","574,477,285.50","574,477,285.50",Consumo discrecional,2779063,US7415034039,NASDAQ
GILD,GILEAD SCIENCES INC,Equity,0.47,76.09,"7,524,121.00","572,510,366.89","572,510,366.89",Cuidado de la Salud,2369174,US3755581036,NASDAQ
AVGO,BROADCOM LTD,Equity,0.47,246.66,"2,310,929.00","570,013,747.14","570,013,747.14",Tecnología de la Información,BD9WQP4,SG9999014823,NASDAQ
NVDA,NVIDIA CORP,Equity,0.46,162.51,"3,425,925.00","556,747,071.75","556,747,071.75",Tecnología de la Información,2379504,US67066G1040,NASDAQ
SLB,SCHLUMBERGER NV,Equity,0.45,68.6,"8,001,706.00","548,917,031.60","548,917,031.60",Energía,2779201,AN8068571086,New York Stock Exchange Inc.
BMY,BRISTOL MYERS SQUIBB,Equity,0.44,56.9,"9,487,099.00","539,815,933.10","539,815,933.10",Cuidado de la Salud,2126335,US1101221083,New York Stock Exchange Inc.
UTX,UNITED TECHNOLOGIES CORP,Equity,0.42,118.57,"4,291,190.00","508,806,398.30","508,806,398.30",Industriales,2915500,US9130171096,New York Stock Exchange Inc.
ABT,ABBOTT LABORATORIES,Equity,0.4,49.18,"9,994,036.00","491,506,690.48","491,506,690.48",Cuidado de la Salud,2002305,US0028241000,New York Stock Exchange Inc.
AGN,ALLERGAN,Equity,0.4,252.33,"1,934,389.00","488,104,376.37","488,104,376.37",Cuidado de la Salud,BY9D546,IE00BY9D5467,New York Stock Exchange Inc.
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Equity,0.4,391.91,"1,242,655.00","487,008,921.05","487,008,921.05",Consumo discrecional,BZ6VT82,US16119P1084,NASDAQ
USB,US BANCORP,Equity,0.39,52.78,"9,124,750.00","481,604,305.00","481,604,305.00",Financieros,2736035,US9029733048,New York Stock Exchange Inc.
UNP,UNION PACIFIC CORP,Equity,0.39,102.96,"4,650,809.00","478,847,294.64","478,847,294.64",Industriales,2914734,US9078181081,New York Stock Exchange Inc.
GS,GOLDMAN SACHS GROUP INC,Equity,0.39,225.33,"2,108,855.00","475,188,297.15","475,188,297.15",Financieros,2407966,US38141G1040,New York Stock Exchange Inc.
CVS,CVS HEALTH CORP,Equity,0.38,79.93,"5,869,332.00","469,135,706.76","469,135,706.76",Productos básicos de consumo,2577609,US1266501006,New York Stock Exchange Inc.
TXN,TEXAS INSTRUMENT INC,Equity,0.38,81.38,"5,739,534.00","467,083,276.92","467,083,276.92",Tecnología de la Información,2885409,US8825081040,NASDAQ
LLY,ELI LILLY,Equity,0.38,82.66,"5,593,193.00","462,333,333.38","462,333,333.38",Cuidado de la Salud,2516152,US5324571083,New York Stock Exchange Inc.
ACN,ACCENTURE PLC CLASS A,Equity,0.38,128.82,"3,569,717.00","459,850,943.94","459,850,943.94",Tecnología de la Información,B4BNMY3,IE00B4BNMY34,New York Stock Exchange Inc.
TWX,TIME WARNER INC,Equity,0.38,102.42,"4,468,174.00","457,630,381.08","457,630,381.08",Consumo discrecional,B63QTN2,US8873173038,New York Stock Exchange Inc.
QCOM,QUALCOMM INC,Equity,0.37,53.19,"8,511,473.00","452,725,248.87","452,725,248.87",Tecnología de la Información,2714923,US7475251036,NASDAQ
NFLX,NETFLIX INC,Equity,0.37,181.66,"2,482,802.00","451,025,811.32","451,025,811.32",Consumo discrecional,2857817,US64110L1061,NASDAQ
NKE,NIKE INC CLASS B,Equity,0.37,59.05,"7,634,726.00","450,830,570.30","450,830,570.30",Consumo discrecional,2640147,US6541061031,New York Stock Exchange Inc.
SBUX,STARBUCKS CORP,Equity,0.37,53.98,"8,341,091.00","450,252,092.18","450,252,092.18",Consumo discrecional,2842255,US8552441094,NASDAQ
UPS,UNITED PARCEL SERVICE INC CLASS B,Equity,0.36,110.29,"3,968,254.00","437,658,733.66","437,658,733.66",Industriales,2517382,US9113121068,New York Stock Exchange Inc.
LMT,LOCKHEED MARTIN CORP,Equity,0.34,292.13,"1,434,513.00","419,064,282.69","419,064,282.69",Industriales,2522096,US5398301094,New York Stock Exchange Inc.
ADBE,ADOBE SYSTEM INC,Equity,0.34,146.49,"2,850,321.00","417,543,523.29","417,543,523.29",Tecnología de la Información,2008154,US00724F1012,NASDAQ
DOW,DOW CHEMICAL,Equity,0.34,64.24,"6,476,024.00","416,019,781.76","416,019,781.76",Materiales,2278719,US2605431038,New York Stock Exchange Inc.
DD,E I DU PONT DE NEMOURS,Equity,0.34,82.21,"4,995,932.00","410,715,569.72","410,715,569.72",Materiales,2018175,US2635341090,New York Stock Exchange Inc.
COST,COSTCO WHOLESALE CORP,Equity,0.33,158.51,"2,527,821.00","400,684,906.71","400,684,906.71",Productos básicos de consumo,2701271,US22160K1051,NASDAQ
WBA,WALGREEN BOOTS ALLIANCE INC,Equity,0.33,80.67,"4,921,533.00","397,020,067.11","397,020,067.11",Productos básicos de consumo,BTN1Y44,US9314271084,NASDAQ
TMO,THERMO FISHER SCIENTIFIC INC,Equity,0.32,175.53,"2,254,494.00","395,731,331.82","395,731,331.82",Cuidado de la Salud,2886907,US8835561023,New York Stock Exchange Inc.
NEE,NEXTERA ENERGY INC,Equity,0.32,146.09,"2,698,413.00","394,211,155.17","394,211,155.17",Servicios,2328915,US65339F1012,New York Stock Exchange Inc.
CB,CHUBB LTD,Equity,0.32,146.46,"2,690,985.00","394,121,663.10","394,121,663.10",Financieros,B3BQMF6,CH0044328745,New York Stock Exchange Inc.
CAT,CATERPILLAR INC,Equity,0.32,113.95,"3,395,087.00","386,870,163.65","386,870,163.65",Industriales,2180201,US1491231015,New York Stock Exchange Inc.
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Equity,0.32,44.02,"8,745,224.00","384,964,760.48","384,964,760.48",Productos básicos de consumo,B8CKK03,US6092071058,NASDAQ
MS,MORGAN STANLEY,Equity,0.32,46.9,"8,208,121.00","384,960,874.90","384,960,874.90",Financieros,2262314,US6174464486,New York Stock Exchange Inc.
