iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Mar 31, 2017"
Total Net Assets,"101,821,854,272.44"
Shares Outstanding,"429,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.71","143.66","26,287,151.00","3,776,412,112.66","3,776,412,112.66","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.50","65.86","38,717,851.00","2,549,957,666.86","2,549,957,666.86","Information Technology","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","1.73","886.54","1,984,366.00","1,759,219,833.64","1,759,219,833.64","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"XOM","EXXON MOBIL CORP","Equity","1.67","82.01","20,775,604.00","1,703,807,284.04","1,703,807,284.04","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.66","124.55","13,594,908.00","1,693,245,791.40","1,693,245,791.40","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"FB","FACEBOOK CLASS A INC","Equity","1.65","142.05","11,800,297.00","1,676,232,188.85","1,676,232,188.85","Information Technology","B7TL820","US30303M1027","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.56","166.68","9,516,158.00","1,586,153,215.44","1,586,153,215.44","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.54","87.84","17,896,896.00","1,572,063,344.64","1,572,063,344.64","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","1.28","29.80","43,714,465.00","1,302,691,057.00","1,302,691,057.00","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.26","41.55","30,771,579.00","1,278,559,107.45","1,278,559,107.45","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.24","847.80","1,488,661.00","1,262,086,795.80","1,262,086,795.80","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"WFC","WELLS FARGO","Equity","1.23","55.66","22,561,888.00","1,255,794,686.08","1,255,794,686.08","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"GOOG","ALPHABET INC CLASS C","Equity","1.21","829.56","1,480,550.00","1,228,205,058.00","1,228,205,058.00","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","1.16","23.59","50,229,648.00","1,184,917,396.32","1,184,917,396.32","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.13","89.85","12,808,917.00","1,150,881,192.45","1,150,881,192.45","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","1.00","34.21","29,821,142.00","1,020,181,267.82","1,020,181,267.82","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.00","107.37","9,485,167.00","1,018,422,380.79","1,018,422,380.79","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.98","48.75","20,423,745.00","995,657,568.75","995,657,568.75","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.88","146.83","6,103,449.00","896,169,416.67","896,169,416.67","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.88","37.59","23,712,689.00","891,359,979.51","891,359,979.51","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.86","112.90","7,773,018.00","877,573,732.20","877,573,732.20","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.86","63.54","13,756,338.00","874,077,716.52","874,077,716.52","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
