iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-may-00,,,,,,,,,,
Fund Holdings as of,31-may-17,,,,,,,,,,
Total Net Assets,"112,533,011,489.13",,,,,,,,,,
Shares Outstanding,"463,100,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,SEDOL,ISIN,Bolsa de valores
AAPL,APPLE INC,Equity,3.86,152.76,"28,422,778.00","4,341,863,567.28","4,341,863,567.28",Tecnología de la Información,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.6,69.84,"41,863,370.00","2,923,737,760.80","2,923,737,760.80",Tecnología de la Información,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,1.9,994.62,"2,145,589.00","2,134,045,731.18","2,134,045,731.18",Consumo discrecional,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.72,151.46,"12,758,976.00","1,932,474,504.96","1,932,474,504.96",Tecnología de la Información,B7TL820,US30303M1027,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.68,128.25,"14,699,377.00","1,885,195,100.25","1,885,195,100.25",Cuidado de la Salud,2475833,US4781601046,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.61,80.5,"22,463,452.00","1,808,307,886.00","1,808,307,886.00",Energía,2326618,US30231G1022,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.51,165.28,"10,289,281.00","1,700,612,363.68","1,700,612,363.68",Financieros,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.41,82.15,"19,350,866.00","1,589,673,641.90","1,589,673,641.90",Financieros,2190385,US46625H1005,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.41,987.09,"1,609,615.00","1,588,834,870.35","1,588,834,870.35",Tecnología de la Información,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.37,964.86,"1,600,845.00","1,544,591,306.70","1,544,591,306.70",Tecnología de la Información,BYY88Y7,US02079K1079,NASDAQ
GE,GENERAL ELECTRIC,Equity,1.15,27.38,"47,265,915.00","1,294,140,752.70","1,294,140,752.70",Industriales,2380498,US3696041033,New York Stock Exchange Inc.
T,AT&T INC,Equity,1.14,38.53,"33,271,529.00","1,281,952,012.37","1,281,952,012.37",Telecomunicaciones,2831811,US00206R1023,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.11,51.14,"24,394,867.00","1,247,553,498.38","1,247,553,498.38",Financieros,2649100,US9497461015,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.08,88.09,"13,849,535.00","1,220,005,538.15","1,220,005,538.15",Productos básicos de consumo,2704407,US7427181091,New York Stock Exchange Inc.
BAC,BANK OF AMERICA CORP,Equity,1.08,22.41,"54,310,411.00","1,217,096,310.51","1,217,096,310.51",Financieros,2295677,US0605051046,New York Stock Exchange Inc.
CMCSA,COMCAST A CORP,Equity,0.95,41.69,"25,639,157.00","1,068,896,455.33","1,068,896,455.33",Consumo discrecional,2044545,US20030N1019,NASDAQ
CVX,CHEVRON CORP,Equity,0.94,103.48,"10,255,753.00","1,061,265,320.44","1,061,265,320.44",Energía,2838555,US1667641005,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.94,32.65,"32,243,861.00","1,052,762,061.65","1,052,762,061.65",Cuidado de la Salud,2684703,US7170811035,New York Stock Exchange Inc.
VZ,VERIZON COMMUNICATIONS INC,Equity,0.92,46.64,"22,083,008.00","1,029,951,493.12","1,029,951,493.12",Telecomunicaciones,2090571,US92343V1044,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.9,153.51,"6,599,313.00","1,013,060,538.63","1,013,060,538.63",Consumo discrecional,2434209,US4370761029,New York Stock Exchange Inc.
PM,PHILIP MORRIS INTERNATIONAL INC,Equity,0.89,119.8,"8,404,516.00","1,006,861,016.80","1,006,861,016.80",Productos básicos de consumo,B2PKRQ3,US7181721090,New York Stock Exchange Inc.
MRK,MERCK & CO INC,Equity,0.86,65.11,"14,873,941.00","968,442,298.51","968,442,298.51",Cuidado de la Salud,2778844,US58933Y1055,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.85,95.23,"10,065,702.00","958,556,801.46","958,556,801.46",Tecnología de la Información,B2PZN04,US92826C8394,New York Stock Exchange Inc.
