iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,30-Nov-17,,,,,,,,,,
Total Net Assets,"140,272,696,975.41",,,,,,,,,,
Shares Outstanding,"525,750,000.00",,,,,,,,,,
Stock,-,,,,,,,,,,
Bond,-,,,,,,,,,,
Cash,-,,,,,,,,,,
Other,-,,,,,,,,,,
 ,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
AAPL,APPLE INC,Equity,3.9,171.85,"31,825,851.00","5,469,272,494.35","5,469,272,494.35",Information Technology,2046251,US0378331005,NASDAQ
MSFT,MICROSOFT CORP,Equity,2.85,84.17,"47,457,714.00","3,994,515,787.38","3,994,515,787.38",Information Technology,2588173,US5949181045,NASDAQ
AMZN,AMAZON COM INC,Equity,2.06,"1,176.75","2,456,752.00","2,890,982,916.00","2,890,982,916.00",Consumer Discretionary,2000019,US0231351067,NASDAQ
FB,FACEBOOK CLASS A INC,Equity,1.84,177.18,"14,604,929.00","2,587,701,320.22","2,587,701,320.22",Information Technology,B7TL820,US30303M1027,NASDAQ
JNJ,JOHNSON & JOHNSON,Equity,1.64,139.33,"16,537,634.00","2,304,188,545.22","2,304,188,545.22",Health Care,2475833,US4781601046,New York Stock Exchange Inc.
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Equity,1.63,193.01,"11,855,848.00","2,288,297,222.48","2,288,297,222.48",Financials,2073390,US0846707026,New York Stock Exchange Inc.
JPM,JPMORGAN CHASE & CO,Equity,1.62,104.52,"21,682,269.00","2,266,230,755.88","2,266,230,755.88",Financials,2190385,US46625H1005,New York Stock Exchange Inc.
XOM,EXXON MOBIL CORP,Equity,1.55,83.29,"26,108,134.00","2,174,546,480.86","2,174,546,480.86",Energy,2326618,US30231G1022,New York Stock Exchange Inc.
GOOGL,ALPHABET INC CLASS A,Equity,1.36,"1,036.17","1,836,464.00","1,902,888,902.88","1,902,888,902.88",Information Technology,BYVY8G0,US02079K3059,NASDAQ
GOOG,ALPHABET INC CLASS C,Equity,1.35,"1,021.41","1,859,952.00","1,899,773,572.32","1,899,773,572.32",Information Technology,BYY88Y7,US02079K1079,NASDAQ
BAC,BANK OF AMERICA CORP,Equity,1.21,28.17,"60,457,419.00","1,703,085,493.23","1,703,085,493.23",Financials,2295677,US0605051046,New York Stock Exchange Inc.
WFC,WELLS FARGO,Equity,1.11,56.47,"27,527,053.00","1,554,452,682.91","1,554,452,682.91",Financials,2649100,US9497461015,New York Stock Exchange Inc.
PG,PROCTER & GAMBLE,Equity,1.01,89.99,"15,712,004.00","1,413,923,239.96","1,413,923,239.96",Consumer Staples,2704407,US7427181091,New York Stock Exchange Inc.
CVX,CHEVRON CORP,Equity,0.99,118.99,"11,676,098.00","1,389,338,901.02","1,389,338,901.02",Energy,2838555,US1667641005,New York Stock Exchange Inc.
T,AT&T INC,Equity,0.98,36.38,"37,831,932.00","1,376,325,686.16","1,376,325,686.16",Telecommunications,2831811,US00206R1023,New York Stock Exchange Inc.
UNH,UNITEDHEALTH GROUP INC,Equity,0.97,228.17,"5,957,412.00","1,359,302,696.04","1,359,302,696.04",Health Care,2917766,US91324P1021,New York Stock Exchange Inc.
PFE,PFIZER INC,Equity,0.95,36.26,"36,771,166.00","1,333,322,479.16","1,333,322,479.16",Health Care,2684703,US7170811035,New York Stock Exchange Inc.
HD,HOME DEPOT INC,Equity,0.93,179.82,"7,263,375.00","1,306,100,092.50","1,306,100,092.50",Consumer Discretionary,2434209,US4370761029,New York Stock Exchange Inc.
INTC,INTEL CORPORATION CORP,Equity,0.93,44.84,"28,953,188.00","1,298,260,949.92","1,298,260,949.92",Information Technology,2463247,US4581401001,NASDAQ
VZ,VERIZON COMMUNICATIONS INC,Equity,0.91,50.89,"25,135,183.00","1,279,129,462.87","1,279,129,462.87",Telecommunications,2090571,US92343V1044,New York Stock Exchange Inc.
V,VISA INC CLASS A,Equity,0.9,112.59,"11,271,760.00","1,269,087,458.40","1,269,087,458.40",Information Technology,B2PZN04,US92826C8394,New York Stock Exchange Inc.
C,CITIGROUP INC,Equity,0.9,75.5,"16,787,548.00","1,267,459,874.00","1,267,459,874.00",Financials,2297907,US1729674242,New York Stock Exchange Inc.
CSCO,CISCO SYSTEMS INC,Equity,0.82,37.3,"30,808,093.00","1,149,141,868.90","1,149,141,868.90",Information Technology,2198163,US17275R1023,NASDAQ
CMCSA,COMCAST A CORP,Equity,0.78,37.54,"28,983,436.00","1,088,038,187.44","1,088,038,187.44",Consumer Discretionary,2044545,US20030N1019,NASDAQ
KO,COCA-COLA,Equity,0.77,45.77,"23,652,738.00","1,082,585,818.26","1,082,585,818.26",Consumer Staples,2206657,US1912161007,New York Stock Exchange Inc.
DWDP,DOWDUPONT INC,Equity,0.74,71.96,"14,376,330.00","1,034,520,706.80","1,034,520,706.80",Materials,BYP66M4,US26078J1007,New York Stock Exchange Inc.
