iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"133,414,175,708.62"
Shares Outstanding,"515,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.94","169.04","31,133,333.00","5,262,778,610.32","5,262,778,610.32","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.89","83.18","46,424,867.00","3,861,620,437.06","3,861,620,437.06","Information Technology","2588173","US5949181045","NASDAQ"
"AMZN","AMAZON COM INC","Equity","1.99","1,105.28","2,403,185.00","2,656,192,316.80","2,656,192,316.80","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.93","180.06","14,287,025.00","2,572,521,721.50","2,572,521,721.50","Information Technology","B7TL820","US30303M1027","NASDAQ"
"JNJ","JOHNSON & JOHNSON","Equity","1.69","139.41","16,177,840.00","2,255,352,674.40","2,255,352,674.40","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.63","186.94","11,597,685.00","2,168,071,233.90","2,168,071,233.90","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.60","100.61","21,210,448.00","2,133,983,173.28","2,133,983,173.28","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.60","83.35","25,539,963.00","2,128,755,916.05","2,128,755,916.05","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.39","1,033.04","1,796,352.00","1,855,703,470.08","1,855,703,470.08","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.39","1,016.64","1,819,624.00","1,849,902,543.36","1,849,902,543.36","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","1.21","27.39","59,141,637.00","1,619,889,437.43","1,619,889,437.43","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.13","56.14","26,928,111.00","1,511,744,151.54","1,511,744,151.54","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","0.99","86.34","15,370,023.00","1,327,047,785.82","1,327,047,785.82","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","0.99","115.89","11,421,990.00","1,323,694,421.10","1,323,694,421.10","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.97","45.49","28,323,059.00","1,288,415,953.91","1,288,415,953.91","Information Technology","2463247","US4581401001","NASDAQ"
"PFE","PFIZER INC","Equity","0.95","35.06","35,970,936.00","1,261,141,016.16","1,261,141,016.16","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"T","AT&T INC","Equity","0.93","33.65","37,008,695.00","1,245,342,586.75","1,245,342,586.75","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.92","210.22","5,827,565.00","1,225,070,714.30","1,225,070,714.30","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.91","109.98","11,026,517.00","1,212,696,339.66","1,212,696,339.66","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.90","73.50","16,422,039.00","1,207,019,866.50","1,207,019,866.50","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.88","165.78","7,105,145.00","1,177,890,938.10","1,177,890,938.10","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.88","47.87","24,588,365.00","1,177,045,032.55","1,177,045,032.55","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.80","45.98","23,138,078.00","1,063,888,826.44","1,063,888,826.44","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.79","20.16","52,185,364.00","1,052,056,938.24","1,052,056,938.24","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.77","34.15","30,137,612.00","1,029,199,449.80","1,029,199,449.80","Information Technology","2198163","US17275R1023","NASDAQ"
"CMCSA","COMCAST A CORP","Equity","0.77","36.03","28,352,785.00","1,021,550,843.55","1,021,550,843.55","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"DWDP","DOWDUPONT INC","Equity","0.76","72.31","14,063,332.00","1,016,919,536.92","1,016,919,536.92","Materials","BYP66M4","US26078J1007","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.73","104.64","9,361,407.00","979,577,628.48","979,577,628.48","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"PEP","PEPSICO INC","Equity","0.71","110.23","8,610,101.00","949,091,433.23","949,091,433.23","Consumer Staples","2681511","US7134481081","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.69","50.90","18,201,604.00","926,461,643.60","926,461,643.60","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"DIS","WALT DISNEY","Equity","0.68","97.81","9,303,398.00","909,965,358.38","909,965,358.38","Consumer Discretionary","2270726","US2546871060","New York Stock Exchange Inc."
"MRK","MERCK & CO INC","Equity","0.68","55.09","16,486,263.00","908,228,228.67","908,228,228.67","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"ABBV","ABBVIE INC","Equity","0.65","90.25","9,608,261.00","867,145,555.25","867,145,555.25","Health Care","B92SR70","US00287Y1091","New York Stock Exchange Inc."
"BA","BOEING","Equity","0.65","257.98","3,348,995.00","863,973,730.10","863,973,730.10","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"MA","MASTERCARD INC CLASS A","Equity","0.63","148.77","5,628,230.00","837,311,777.10","837,311,777.10","Information Technology","B121557","US57636Q1040","New York Stock Exchange Inc."
"MMM","3M","Equity","0.62","230.19","3,596,998.00","827,992,969.62","827,992,969.62","Industrials","2595708","US88579Y1010","New York Stock Exchange Inc."
"MCD","MCDONALDS CORP","Equity","0.61","166.91","4,882,332.00","814,910,034.12","814,910,034.12","Consumer Discretionary","2550707","US5801351017","New York Stock Exchange Inc."
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Equity","0.60","154.06","5,224,079.00","804,821,610.74","804,821,610.74","Information Technology","2005973","US4592001014","New York Stock Exchange Inc."
"AMGN","AMGEN INC","Equity","0.58","175.22","4,398,183.00","770,649,625.26","770,649,625.26","Health Care","2023607","US0311621009","NASDAQ"
"WMT","WALMART STORES INC","Equity","0.58","87.31","8,822,572.00","770,298,761.32","770,298,761.32","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"NVDA","NVIDIA CORP","Equity","0.56","206.81","3,616,513.00","747,931,053.53","747,931,053.53","Information Technology","2379504","US67066G1040","NASDAQ"
"MO","ALTRIA GROUP INC","Equity","0.56","64.22","11,564,101.00","742,646,566.22","742,646,566.22","Consumer Staples","2692632","US02209S1033","New York Stock Exchange Inc."
"HON","HONEYWELL INTERNATIONAL INC","Equity","0.50","144.16","4,595,016.00","662,417,506.56","662,417,506.56","Industrials","2020459","US4385161066","New York Stock Exchange Inc."
"MDT","MEDTRONIC PLC","Equity","0.49","80.52","8,164,685.00","657,420,436.20","657,420,436.20","Health Care","BTN1Y11","IE00BTN1Y115","New York Stock Exchange Inc."
"AVGO","BROADCOM LTD","Equity","0.48","263.91","2,450,800.00","646,790,628.00","646,790,628.00","Information Technology","BD9WQP4","SG9999014823","NASDAQ"
"BMY","BRISTOL MYERS SQUIBB","Equity","0.46","61.66","9,884,574.00","609,482,832.84","609,482,832.84","Health Care","2126335","US1101221083","New York Stock Exchange Inc."
"GILD","GILEAD SCIENCES INC","Equity","0.44","74.96","7,871,521.00","590,049,214.16","590,049,214.16","Health Care","2369174","US3755581036","NASDAQ"
"TXN","TEXAS INSTRUMENT INC","Equity","0.43","96.69","5,967,426.00","576,990,419.94","576,990,419.94","Information Technology","2885409","US8825081040","NASDAQ"
"ABT","ABBOTT LABORATORIES","Equity","0.43","54.23","10,472,347.00","567,915,377.81","567,915,377.81","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"PCLN","THE PRICELINE GROUP INC","Equity","0.42","1,911.96","295,807.00","565,571,151.72","565,571,151.72","Consumer Discretionary","2779063","US7415034039","NASDAQ"
"UNP","UNION PACIFIC CORP","Equity","0.42","115.79","4,824,268.00","558,601,991.72","558,601,991.72","Industrials","2914734","US9078181081","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","0.40","119.76","4,477,409.00","536,214,501.84","536,214,501.84","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"SLB","SCHLUMBERGER NV","Equity","0.40","64.00","8,375,171.00","536,010,944.00","536,010,944.00","Energy","2779201","AN8068571086","New York Stock Exchange Inc."
"ACN","ACCENTURE PLC CLASS A","Equity","0.40","142.36","3,724,757.00","530,256,406.52","530,256,406.52","Information Technology","B4BNMY3","IE00B4BNMY34","New York Stock Exchange Inc."
"GS","GOLDMAN SACHS GROUP INC","Equity","0.39","242.48","2,168,505.00","525,819,092.40","525,819,092.40","Financials","2407966","US38141G1040","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.39","54.38","9,578,311.00","520,868,552.18","520,868,552.18","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"ADBE","ADOBE SYSTEM INC","Equity","0.39","175.16","2,973,013.00","520,752,957.08","520,752,957.08","Information Technology","2008154","US00724F1012","NASDAQ"
"NFLX","NETFLIX INC","Equity","0.38","196.43","2,602,184.00","511,147,003.12","511,147,003.12","Consumer Discretionary","2857817","US64110L1061","NASDAQ"
"PYPL","PAYPAL HOLDINGS INC","Equity","0.37","72.56","6,812,566.00","494,319,788.96","494,319,788.96","Information Technology","BYW36M8","US70450Y1038","NASDAQ"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Equity","0.37","117.53","4,151,603.00","487,937,900.59","487,937,900.59","Industrials","2517382","US9113121068","New York Stock Exchange Inc."
"CAT","CATERPILLAR INC","Equity","0.36","135.80","3,562,207.00","483,747,710.60","483,747,710.60","Industrials","2180201","US1491231015","New York Stock Exchange Inc."
