iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"126,492,385,434.10"
Shares Outstanding,"500,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"AAPL","APPLE INC","Equity","3.68","154.12","30,311,621.00","4,671,627,028.52","4,671,627,028.52","Information Technology","2046251","US0378331005","NASDAQ"
"MSFT","MICROSOFT CORP","Equity","2.65","74.49","45,199,779.00","3,366,931,537.71","3,366,931,537.71","Information Technology","2588173","US5949181045","NASDAQ"
"FB","FACEBOOK CLASS A INC","Equity","1.87","170.87","13,910,033.00","2,376,807,338.71","2,376,807,338.71","Information Technology","B7TL820","US30303M1027","NASDAQ"
"AMZN","AMAZON COM INC","Equity","1.77","961.35","2,339,809.00","2,249,375,382.15","2,249,375,382.15","Consumer Discretionary","2000019","US0231351067","NASDAQ"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Equity","1.63","183.32","11,291,685.00","2,069,991,694.20","2,069,991,694.20","Financials","2073390","US0846707026","New York Stock Exchange Inc."
"JNJ","JOHNSON & JOHNSON","Equity","1.61","130.01","15,750,800.00","2,047,761,508.00","2,047,761,508.00","Health Care","2475833","US4781601046","New York Stock Exchange Inc."
"XOM","EXXON MOBIL CORP","Equity","1.61","81.98","24,865,947.00","2,038,510,335.06","2,038,510,335.06","Energy","2326618","US30231G1022","New York Stock Exchange Inc."
"JPM","JPMORGAN CHASE & CO","Equity","1.55","95.51","20,650,672.00","1,972,345,682.72","1,972,345,682.72","Financials","2190385","US46625H1005","New York Stock Exchange Inc."
"GOOGL","ALPHABET INC CLASS A","Equity","1.34","973.72","1,749,024.00","1,703,059,649.28","1,703,059,649.28","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"GOOG","ALPHABET INC CLASS C","Equity","1.34","959.11","1,771,480.00","1,699,044,182.80","1,699,044,182.80","Information Technology","BYY88Y7","US02079K1079","NASDAQ"
"BAC","BANK OF AMERICA CORP","Equity","1.15","25.34","57,580,901.00","1,459,100,031.34","1,459,100,031.34","Financials","2295677","US0605051046","New York Stock Exchange Inc."
"WFC","WELLS FARGO","Equity","1.14","55.15","26,217,375.00","1,445,888,231.25","1,445,888,231.25","Financials","2649100","US9497461015","New York Stock Exchange Inc."
"T","AT&T INC","Equity","1.11","39.17","36,031,943.00","1,411,371,207.31","1,411,371,207.31","Telecommunications","2831811","US00206R1023","New York Stock Exchange Inc."
"PG","PROCTER & GAMBLE","Equity","1.07","90.98","14,964,471.00","1,361,467,571.58","1,361,467,571.58","Consumer Staples","2704407","US7427181091","New York Stock Exchange Inc."
"CVX","CHEVRON CORP","Equity","1.03","117.50","11,120,614.00","1,306,672,145.00","1,306,672,145.00","Energy","2838555","US1667641005","New York Stock Exchange Inc."
"PFE","PFIZER INC","Equity","0.98","35.70","35,021,656.00","1,250,273,119.20","1,250,273,119.20","Health Care","2684703","US7170811035","New York Stock Exchange Inc."
"GE","GENERAL ELECTRIC","Equity","0.97","24.18","50,808,228.00","1,228,542,953.04","1,228,542,953.04","Industrials","2380498","US3696041033","New York Stock Exchange Inc."
"VZ","VERIZON COMMUNICATIONS INC","Equity","0.93","49.49","23,939,373.00","1,184,759,569.77","1,184,759,569.77","Telecommunications","2090571","US92343V1044","New York Stock Exchange Inc."
"C","CITIGROUP INC","Equity","0.92","72.74","15,988,743.00","1,163,021,165.82","1,163,021,165.82","Financials","2297907","US1729674242","New York Stock Exchange Inc."
"HD","HOME DEPOT INC","Equity","0.89","163.56","6,917,737.00","1,131,465,063.72","1,131,465,063.72","Consumer Discretionary","2434209","US4370761029","New York Stock Exchange Inc."
"V","VISA INC CLASS A","Equity","0.89","105.24","10,735,477.00","1,129,801,599.48","1,129,801,599.48","Information Technology","B2PZN04","US92826C8394","New York Stock Exchange Inc."
"UNH","UNITEDHEALTH GROUP INC","Equity","0.88","195.85","5,673,885.00","1,111,230,377.25","1,111,230,377.25","Health Care","2917766","US91324P1021","New York Stock Exchange Inc."
"CMCSA","COMCAST A CORP","Equity","0.84","38.48","27,604,513.00","1,062,221,660.24","1,062,221,660.24","Consumer Discretionary","2044545","US20030N1019","NASDAQ"
"INTC","INTEL CORPORATION CORP","Equity","0.83","38.08","27,575,603.00","1,050,078,962.24","1,050,078,962.24","Information Technology","2463247","US4581401001","NASDAQ"
"MRK","MERCK & CO INC","Equity","0.81","64.03","16,051,063.00","1,027,749,563.89","1,027,749,563.89","Health Care","2778844","US58933Y1055","New York Stock Exchange Inc."
"KO","COCA-COLA","Equity","0.80","45.01","22,527,438.00","1,013,959,984.38","1,013,959,984.38","Consumer Staples","2206657","US1912161007","New York Stock Exchange Inc."
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.80","111.01","9,114,431.00","1,011,792,985.31","1,011,792,985.31","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"CSCO","CISCO SYSTEMS INC","Equity","0.78","33.63","29,342,284.00","986,781,010.92","986,781,010.92","Information Technology","2198163","US17275R1023","NASDAQ"
